*****   .tiff Pages Counter   *****

---> Enter an absolute path to the .tiffs directory or d for default: 

At the folder: /home/miguelf/Dropbox/Scans-BOL/BOL_Review

698611_BOL.tif has 4 pages
708662_BOL.tif has 2 pages
738747_BOL.tif has 2 pages
738246_BOL.tif has 1 pages
740900_BOL.tif has 2 pages
717994_BOL.tif has 4 pages
726379_BOL.tif has 5 pages
709078_BOL.tif has 1 pages
YY6079_BOL.tif has 6 pages
745362_BOL.tif has 2 pages
726858_BOL.tif has 2 pages
642553_BOL.tif has 1 pages
Z0160_BOL.tif has 1 pages
725471_BOL.tif has 2 pages
709712_BOL.tif has 4 pages
725235_BOL.tif has 2 pages
556405_BOL.tif has 2 pages
603122_BOL.tif has 2 pages
740501_BOL.tif has 2 pages
664536_BOL.tif has 9 pages
619819_BOL.tif has 3 pages
740297_BOL.tif has 2 pages
739900_BOL.tif has 2 pages
565671_BOL.tif has 1 pages
747063_BOL.tif has 2 pages
630608_BOL.tif has 2 pages
726734_BOL.tif has 2 pages
645067_BOL.tif has 2 pages
679246_BOL.tif has 1 pages
738704_BOL.tif has 2 pages
737196_BOL.tif has 2 pages
747012_BOL.tif has 2 pages
738793_BOL.tif has 2 pages
668903_BOL.tif has 2 pages
718798_BOL.tif has 2 pages
718652_BOL.tif has 1 pages
718145_BOL.tif has 2 pages
635655_BOL.tif has 1 pages
679991_BOL.tif has 2 pages
739817_BOL.tif has 4 pages
726312_BOL.tif has 2 pages
726321_BOL.tif has 2 pages
731721_BOL.tif has 2 pages
694814_BOL.tif has 8 pages
590551_BOL.tif has 2 pages
708462_BOL.tif has 6 pages
700617_BOL.tif has 2 pages
675876_BOL.tif has 2 pages
645663_BOL.tif has 11 pages
726369_BOL.tif has 2 pages
657068_BOL.tif has 2 pages
709764_BOL.tif has 9 pages
738787_BOL.tif has 2 pages
657051_BOL.tif has 2 pages
637903_BOL.tif has 5 pages
740067_BOL.tif has 2 pages
619853_BOL.tif has 3 pages
629206_BOL.tif has 2 pages
718032_BOL.tif has 6 pages
722114_BOL.tif has 4 pages
747140_BOL.tif has 2 pages
726375_BOL.tif has 1 pages
666144_BOL.tif has 2 pages
718524_BOL.tif has 1 pages
693814_BOL.tif has 2 pages
669561_BOL.tif has 2 pages
665475_BOL.tif has 2 pages
708541_BOL.tif has 2 pages
669475_BOL.tif has 2 pages
709125_BOL.tif has 3 pages
665142_BOL.tif has 2 pages
Z0154_BOL.tif has 1 pages
679578_BOL.tif has 1 pages
747004_BOL.tif has 2 pages
719234_BOL.tif has 6 pages
679993_BOL.tif has 2 pages
679388_BOL.tif has 2 pages
738240_BOL.tif has 1 pages
666148_BOL.tif has 2 pages
600178_BOL.tif has 2 pages
745854_BOL.tif has 2 pages
725236_BOL.tif has 2 pages
709982_BOL.tif has 6 pages
679930_BOL.tif has 2 pages
746989_BOL.tif has 2 pages
725412_BOL.tif has 6 pages
669474_BOL.tif has 2 pages
726349_BOL.tif has 2 pages
739232_BOL.tif has 2 pages
726062_BOL.tif has 5 pages
651635_BOL.tif has 2 pages
725200_BOL.tif has 3 pages
719106_BOL.tif has 2 pages
657085_BOL.tif has 2 pages
740177_BOL.tif has 4 pages
718628_BOL.tif has 1 pages
740680_BOL.tif has 2 pages
556415_BOL.tif has 2 pages
642566_BOL.tif has 2 pages
718794_BOL.tif has 2 pages
719957_BOL.tif has 1 pages
619841_BOL.tif has 2 pages
675882_BOL.tif has 2 pages
718494_BOL.tif has 2 pages
658671_BOL.tif has 3 pages
732307_BOL.tif has 2 pages
725722_BOL.tif has 1 pages
Z0171_BOL.tif has 1 pages
731740_BOL.tif has 2 pages
742527_BOL.tif has 2 pages
678674_BOL.tif has 2 pages
745405_BOL.tif has 1 pages
669489_BOL.tif has 2 pages
679987_BOL.tif has 2 pages
726339_BOL.tif has 2 pages
732860_BOL.tif has 2 pages
693803_BOL.tif has 2 pages
747073_BOL.tif has 2 pages
747035_BOL.tif has 2 pages
709081_BOL.tif has 2 pages
726905_BOL.tif has 2 pages
635629_BOL.tif has 2 pages
630646_BOL.tif has 2 pages
740258_BOL.tif has 2 pages
665292_BOL.tif has 2 pages
556420_BOL.tif has 2 pages
719999_BOL.tif has 1 pages
747006_BOL.tif has 2 pages
721610_BOL.tif has 2 pages
693812_BOL.tif has 2 pages
747014_BOL.tif has 2 pages
708654_BOL.tif has 3 pages
675422_BOL.tif has 2 pages
679919_BOL.tif has 2 pages
595002_BOL.tif has 2 pages
M00982_BOL.tif has 1 pages
693835_BOL.tif has 2 pages
679045_BOL.tif has 2 pages
708935_BOL.tif has 5 pages
746323_BOL.tif has 5 pages
740260_BOL.tif has 2 pages
679266_BOL.tif has 7 pages
725928_BOL.tif has 2 pages
693802_BOL.tif has 2 pages
747134_BOL.tif has 2 pages
619845_BOL.tif has 2 pages
746341_BOL.tif has 5 pages
679037_BOL.tif has 2 pages
650944_BOL.tif has 2 pages
726871_BOL.tif has 2 pages
737159_BOL.tif has 2 pages
679275_BOL.tif has 5 pages
637994_BOL.tif has 3 pages
664539_BOL.tif has 2 pages
678686_BOL.tif has 2 pages
738700_BOL.tif has 2 pages
646434_BOL.tif has 2 pages
745865_BOL.tif has 2 pages
725835_BOL.tif has 2 pages
740261_BOL.tif has 2 pages
738791_BOL.tif has 2 pages
726863_BOL.tif has 2 pages
740694_BOL.tif has 2 pages
742545_BOL.tif has 2 pages
642578_BOL.tif has 1 pages
745864_BOL.tif has 1 pages
719048_BOL.tif has 2 pages
726643_BOL.tif has 2 pages
658676_BOL.tif has 6 pages
655686_BOL.tif has 2 pages
645003_BOL.tif has 2 pages
679938_BOL.tif has 2 pages
746319_BOL.tif has 5 pages
746978_BOL.tif has 2 pages
725822_BOL.tif has 2 pages
726715_BOL.tif has 2 pages
732864_BOL.tif has 2 pages
740318_BOL.tif has 2 pages
721554_BOL.tif has 4 pages
725933_BOL.tif has 2 pages
663648_BOL.tif has 2 pages
642581_BOL.tif has 1 pages
679007_BOL.tif has 2 pages
745740_BOL.tif has 1 pages
746999_BOL.tif has 2 pages
651631_BOL.tif has 2 pages
745404_BOL.tif has 1 pages
745815_BOL.tif has 2 pages
718642_BOL.tif has 3 pages
630649_BOL.tif has 2 pages
718788_BOL.tif has 2 pages
679931_BOL.tif has 2 pages
650949_BOL.tif has 2 pages
718692_BOL.tif has 6 pages
718538_BOL.tif has 1 pages
718838_BOL.tif has 2 pages
747002_BOL.tif has 2 pages
669482_BOL.tif has 2 pages
739306_BOL.tif has 1 pages
726513_BOL.tif has 1 pages
726916_BOL.tif has 5 pages
668762_BOL.tif has 1 pages
747142_BOL.tif has 2 pages
732500_BOL.tif has 1 pages
708532_BOL.tif has 2 pages
726628_BOL.tif has 2 pages
708931_BOL.tif has 7 pages
740151_BOL.tif has 4 pages
M01618_BOL.tif has 1 pages
664531_BOL.tif has 10 pages
740313_BOL.tif has 2 pages
678986_BOL.tif has 2 pages
718839_BOL.tif has 2 pages
719986_BOL.tif has 2 pages
670468_BOL.tif has 2 pages
737138_BOL.tif has 2 pages
600155_BOL.tif has 2 pages
738767_BOL.tif has 1 pages
700451_BOL.tif has 6 pages
650948_BOL.tif has 2 pages
721658_BOL.tif has 2 pages
737158_BOL.tif has 2 pages
679006_BOL.tif has 2 pages
725927_BOL.tif has 2 pages
737194_BOL.tif has 2 pages
708679_BOL.tif has 1 pages
675835_BOL.tif has 2 pages
709986_BOL.tif has 6 pages
679393_BOL.tif has 2 pages
658673_BOL.tif has 3 pages
745817_BOL.tif has 2 pages
721657_BOL.tif has 2 pages
725901_BOL.tif has 2 pages
718130_BOL.tif has 2 pages
718020_BOL.tif has 5 pages
650946_BOL.tif has 2 pages
675842_BOL.tif has 2 pages
725240_BOL.tif has 2 pages
694804_BOL.tif has 4 pages
642576_BOL.tif has 3 pages
740219_BOL.tif has 2 pages
669533_BOL.tif has 2 pages
740082_BOL.tif has 1 pages
732502_BOL.tif has 1 pages
556454_BOL.tif has 2 pages
719244_BOL.tif has 4 pages
655740_BOL.tif has 2 pages
740126_BOL.tif has 2 pages
670456_BOL.tif has 4 pages
675860_BOL.tif has 2 pages
738735_BOL.tif has 2 pages
635623_BOL.tif has 4 pages
747119_BOL.tif has 2 pages
726388_BOL.tif has 2 pages
619846_BOL.tif has 1 pages
725224_BOL.tif has 2 pages
659088_BOL.tif has 2 pages
726102_BOL.tif has 2 pages
731713_BOL.tif has 2 pages
745445_BOL.tif has 6 pages
692243_BOL.tif has 3 pages
738729_BOL.tif has 2 pages
745499_BOL.tif has 1 pages
556432_BOL.tif has 2 pages
738759_BOL.tif has 2 pages
659095_BOL.tif has 2 pages
708946_BOL.tif has 7 pages
646405_BOL.tif has 2 pages
670460_BOL.tif has 3 pages
708681_BOL.tif has 6 pages
M01626_BOL.tif has 1 pages
679396_BOL.tif has 2 pages
666995_BOL.tif has 2 pages
693470_BOL.tif has 3 pages
678996_BOL.tif has 2 pages
737191_BOL.tif has 2 pages
725437_BOL.tif has 4 pages
645058_BOL.tif has 1 pages
745818_BOL.tif has 2 pages
708504_BOL.tif has 2 pages
667059_BOL.tif has 2 pages
740650_BOL.tif has 2 pages
645664_BOL.tif has 2 pages
718527_BOL.tif has 5 pages
739322_BOL.tif has 1 pages
